id,seed,forcedness,compression_score,stagnation,efficiency,auto_move_flag
16010475,L#ez#oHK#DJEk#bnYsS#hAOPIN#QXRFqaG#rCtpwvmVZyWflcujiTxdgBUM,124.500000,1945.000000,52.000000,0.598837,1
16010476,b#Le#UHs#dpEj#fxira#KWmqAC#RGoNVwz#IQchJZFyOXtPvDnlMYSuBTkg,151.500000,3490.000000,57.000000,0.725664,1
16010469,W#KI#JeO#cMXn#EmFNV#jRxCzD#TfUdagy#htrGHsiSLPoqBbAlwvkQYpZu,137.500000,1630.000000,52.000000,0.573034,1
16010401,j#SA#TFy#nOMB#rlbwN#HfmshK#YxgaCRZ#WEvcIiDGdqVtzXQpoPkeLUJu,158.000000,1751.000000,52.000000,0.580952,1
16010459,X#Dm#PJF#cqHw#SUMBi#Obujvn#CkfshaZ#AWNloyLTrKeVgGIREdYQxpzt,128.000000,2216.000000,55.000000,0.512195,1
16010457,R#qU#mVE#GneM#YvgXT#CAuODH#fhBzcIF#ywiSojrJxNpkQdZKtlabsPLW,131.000000,1391.000000,54.000000,0.644231,1
16010441,z#jE#tUH#SCJZ#KkidL#rxqfbI#PGsRYhw#BvQapMlXDWunNyFVecOTgoAm,137.500000,1962.000000,60.000000,0.515789,1
16010442,B#zp#Rao#WbdD#qkgOC#hQvwXi#HUIZymc#TfFlVuSsLMrYNnEGeKPxjJtA,130.500000,1312.000000,54.000000,0.543956,1
16010443,w#AU#QtR#mOeN#GBjoL#DpsxvV#iPJEChc#nbMqrWIXaFKlZHfkudSgYzyT,120.500000,1395.000000,59.000000,0.565934,1
16010444,S#DB#JIH#KZnr#lLRUd#CmOxNw#fsEcoFv#TbptjqkeaPYAWugGyVziQXhM,137.000000,2040.000000,49.000000,0.585366,1
16010445,e#Dp#TLd#yGWj#cqMBI#khOnJb#RHXCvos#aEfiAgtQKmYZwPSxrNVzFUlu,121.000000,1673.000000,55.000000,0.642157,1
16010446,i#uJ#myg#bTMp#fZQck#XCIxBN#AtEsqrh#DlOUFGYodSLzjwVeaHvRnWKP,136.000000,2444.000000,58.000000,0.510000,1
16010447,E#RA#OCK#iTzU#dXvgu#Gjoqrh#FeSQLVD#JbNacmWBPnMHyYZpwxftslIk,120.500000,1126.000000,47.000000,0.723404,1
16010458,g#BY#MDS#EvGU#KePaA#TlwWIF#RVxcbLy#XmZukjqOQCNrsHzJionphdft,103.500000,785.000000,30.000000,0.775000,1
16010448,y#Am#prh#BMuE#bWLJX#DaRfeK#GYiNVOz#CcsPjTUISFgZtoklxvnQwqdH,114.500000,2208.000000,65.000000,0.461957,1
16010450,m#AT#YPH#EoWf#xhGCB#LJiOqn#jFvsQKz#DSZrdIyRbuXwMlVgUpctNkae,168.500000,1574.000000,56.000000,0.552885,1
16010451,L#mf#hZj#OiMv#YNzBK#IHUrsS#gonqReC#dlpwEJyQaAxDtkXVcuTWGbPF,136.000000,2620.000000,57.000000,0.556701,1
16010452,H#eT#IZB#pAzY#GOlbw#ifXsvV#FrgJuDo#tMdEcykURPCajSWnNmQhLKxq,115.000000,2247.000000,56.000000,0.540230,1
16010453,g#yR#Kjp#bJHO#Foifz#VDrXmW#MSekUCP#adxlwcIvnBhZLAGtETsYQNuq,153.000000,1506.000000,47.000000,0.594737,1
16010454,A#XU#ycz#YxmW#SuTEf#ohRiNe#wGnHrlB#MIZdgKFJPDqCbLavsQpjtkOV,179.500000,3954.000000,52.000000,0.569444,1
16010455,C#mF#zjf#xwAY#tuUQG#ZnDHPe#gboEvpM#VTSBrOWsKJRhykaNqliILXcd,123.500000,2492.000000,43.000000,0.708861,1
16010456,c#MQ#rSU#NHqF#YwAol#JtegTp#mPDjKvO#XyhWVLBxznsGbRuaiCIfEZdk,142.500000,3655.000000,51.000000,0.598837,1
16010449,X#Ek#TOP#ImwS#NepHn#WaBrjg#xlqfCzv#siALtVZyFbRDuYhdGocJMUKQ,141.500000,1562.000000,55.000000,0.626168,1
16010400,g#Gp#Pji#Wqef#FkRnS#BrvUIL#TMxsXaE#JQCwDzcOmdZblVYtHhKoNAuy,148.000000,3168.000000,55.000000,0.586538,1
16010399,X#SU#vsE#ymGD#ZLhqI#RrJFkV#fngBYeA#WMPiCQlHtjzuNoTKdbawpOcx,183.000000,5460.000000,46.000000,0.633333,1
16010398,H#xn#Ils#XJLw#ZfPYy#zqetmi#QcarSNU#uMobdhEDOVKvjARgWkTpBFCG,161.000000,3459.000000,60.000000,0.532710,1
16010342,q#CN#XEt#fRdO#sIrnp#VMxGPy#HDeuojQ#gLiaTlKZvbzwFJUcmSYABkWh,124.500000,3322.000000,56.000000,0.576531,1
16010343,A#pU#esJ#Zuzj#TqXDb#xdGSti#MBEkWaY#NQHvolVLIgmRKCwcnrhFPfOy,98.500000,2214.000000,45.000000,0.664634,1
16010344,W#ba#Leu#drEA#FQpNt#SICVBX#zoqTPiZ#xOMUwKmnkjycRgfDJGvhlYsH,108.500000,2437.000000,46.000000,0.744186,1
16010345,y#Mx#aeN#OnBT#gUtfo#GDVrFA#KjmdEQY#SIlkCwhbvJquRcZHszpWPiXL,97.500000,2039.000000,49.000000,0.685185,1
16010346,U#Kl#VJN#hFvs#dpoEA#urMazX#jIebifW#CTtHROPqgmScLkDwxnZyBYQG,153.000000,2037.000000,52.000000,0.669811,1
16010347,k#xG#TOl#FjZz#YLdHW#IsXuEQ#fVDqPNU#RhpJgCmiBeMcnKAawrbStvoy,151.000000,3676.000000,49.000000,0.563830,1
16010348,b#jG#ylQ#cWuA#DNdrs#ofERXv#gUwxnMh#IHVSJqBzCFZepYKOtTiLmaPk,154.000000,2001.000000,56.000000,0.590000,1
16010341,K#er#pQq#fvTa#OkJsW#xltFZh#AgwUznD#IiMBmdoGNPYbyXjECRVLHuSc,136.000000,1777.000000,63.000000,0.483333,1
16010349,j#Fw#aAd#UBNn#fgIVr#eQPGSt#cuyzHMk#OJRXiYlZWvKEhboDxqmTsCpL,125.500000,3748.000000,64.000000,0.489691,1
16010351,a#mD#PWo#MGxt#wjBnJ#IKdvcb#gClrNZp#sTqkfOSRYUuAQVLeHyEhFXzi,152.000000,1607.000000,48.000000,0.643617,1
16010352,s#UE#AWb#qVgK#zJmZP#HFYoRp#SjIxnDQ#cGdelMktyONTuwrLafvXChBi,124.000000,1516.000000,51.000000,0.591837,1
16010353,D#TO#KBc#HWIA#yxRQw#qPLokn#siFbhrN#GfVJlzUgZvpeaEXMmdYSjCtu,102.500000,1717.000000,65.000000,0.558824,1
16010354,o#Ul#sEr#hYQH#OcJdq#gzIANP#ejuZtGC#axpnDVWmbfXFvTyRBSKkwMiL,159.000000,4186.000000,51.000000,0.581522,1
16010355,m#IY#zdc#gifG#LlXjS#ZEOBNh#DroekPv#RyMpbUAKuFsTCVQWwHJtqanx,145.000000,4098.000000,48.000000,0.622449,1
16010356,Z#Xw#PLx#egSa#yVKfW#YoiRdN#QJrIDEB#kvTusOjpcHqhFmGzlnCtUAMb,139.000000,1571.000000,58.000000,0.531250,1
16010357,V#Uz#cvP#tfuD#dOWxw#IjAkKS#qGgNnCb#QaHhZRioFJLXBsMypEmelrTY,131.500000,1681.000000,65.000000,0.566667,1
16010350,N#br#hRI#lZQB#cejws#GoYMPS#UTutDCg#FqHkJApniWfLaKyEvOVdmXzx,126.000000,2146.000000,51.000000,0.598901,1
16010358,A#fk#MZn#HgBD#cYePX#GJiOrF#sjExQCa#TLNvdqozRhtUumbKSVlWpIyw,127.000000,1951.000000,42.000000,0.654762,1
16010340,J#pN#kov#HqVz#ebifX#tmhPuy#sIUMECd#GwcaKQxDROYTgnSLBFrAjZlW,131.000000,2928.000000,51.000000,0.605263,1
16010338,R#pL#dDP#wKiO#qfTNQ#JlcrCn#sUSybmu#MIjgVoYtzWkHFAxGBeEXvhaZ,130.500000,1754.000000,39.000000,0.679012,1
16010322,s#RJ#ygf#DxSh#dwuzp#ECVtBr#MTmeGHX#qNijcQaPoUOnZbAlYIvFWKLk,149.500000,1691.000000,49.000000,0.579787,1
16010323,e#Dv#Vxc#yZpI#mMHzd#XiAsUq#FYWojhu#kbQCBaTRKntSfPOLJEgrGwNl,159.000000,3288.000000,58.000000,0.550000,1
16010324,P#Zq#zCl#VLio#HedRF#gyBXSn#Ykvhmjs#OTMJWwGADQuapxrUIbKENcft,87.000000,2283.000000,50.000000,0.644444,1
16010325,a#YC#VQb#ZfNF#MKoGW#whHRUB#LmEPlry#szxcDeJgSAktiXIqndpTjOuv,150.000000,1027.000000,35.000000,0.692771,1
16010326,a#AR#KQG#uydr#fxcTj#hJnvNB#CsebptU#YZLimEFWXSOHkIzDgMqPowVl,162.000000,1518.000000,56.000000,0.600000,1
16010327,w#iN#TZQ#GRAC#vgPBk#IxurEo#yhmfzsq#SYeHUVMDWpFLjcOKdatnJlXb,123.000000,2401.000000,52.000000,0.561111,1
16010328,h#zp#Ovj#oFqY#txgiX#DCeJBE#kwyrdNQ#HMGLmIVsnZTcubfKPRWlUSAa,168.000000,1604.000000,55.000000,0.595238,1
16010339,x#fN#AHl#vCVm#sJiQp#ZbSnRU#yutwYXz#ErBLjPeFcMTgGOhIkDoWdaqK,140.500000,2280.000000,56.000000,0.575758,1
16010329,A#PI#MgQ#HwBn#YESqx#pojDsZ#deviOzc#tyCRKkUruXlaVGTLJNFbWfmh,125.500000,913.000000,45.000000,0.622222,1
16010331,x#eQ#KFG#gXWD#Lrzsp#RijCnS#oPvdqcN#AJVIaHTbhfZOMwYtEkylUumB,102.000000,851.000000,36.000000,0.711538,1
16010332,t#xC#pAn#GMsh#lJyqH#KvUgiI#YTVaXSZ#wFfjoQcLzemukbOEWDrRNBPd,147.000000,2675.000000,51.000000,0.553763,1
16010333,t#ME#ySA#lKJp#gZIaB#RzGPvX#kcsNCqQ#xrTFuhdLbmnDwfOjVHoiUeYW,121.500000,1631.000000,48.000000,0.601124,1
16010334,l#YW#arB#eXoO#GbvUx#ZkHwIq#ufRmKdN#jshcLCtAPMiTzDSQEnpJVyFg,135.500000,1504.000000,41.000000,0.706522,1
16010335,z#Qw#HuY#UFMp#DWPXa#sAdBZf#oNKyghr#SLCxRtIJVbTmEGeklvOqcijn,106.000000,2562.000000,56.000000,0.558140,1
16010336,n#Ou#aMK#LxBb#XkfEr#WvSoCN#wRymHJl#GFeAqUzYQZitTjcPDpIhdVgs,121.500000,2775.000000,41.000000,0.625000,1
16010337,h#uK#SCX#qmED#cyOxH#pRtWLi#JlzgFjN#rbwQIUnGTvsYAkfMZVaodPBe,156.500000,1627.000000,60.000000,0.538462,1
16010330,B#zl#bGC#khDg#ZAHqr#WuVvfn#IwOTpxe#PEUaNQKmjsyXLJMtodRSiYcF,146.000000,2137.000000,43.000000,0.705882,1
16010477,A#ON#CBP#mlDz#iwQEk#acqItK#oSnGUFb#WVTxZupHyehRfjJgLsXMYvrd,115.000000,1850.000000,61.000000,0.529070,1
16010359,w#iQ#TzI#joJL#OsftU#YExdhV#pMNkCXH#PvrclSFeADaqGubgnRZBKmyW,128.000000,3570.000000,53.000000,0.558511,1
16010361,u#kn#NEA#zybS#YUaZW#xJcKOD#mgjIPMv#TpqhrLCfHBQoRXVeiFtslGdw,101.500000,1849.000000,59.000000,0.583333,1
